ticker,company,cik,revenue,shares_outstanding,revenue_per_share
SBUX,Starbucks,0000829224,37184400000.0,1136900000.0,32.706834374175386
STT,State Street Corporation,0000093751,13944000000.0,279077907.0,49.9645426966743
STLD,Steel Dynamics,0001022671,18176581000.0,144940102.0,125.4075355901157
STE,Steris,0001757898,5459515000.0,98100000.0,55.65254841997961
SYK,Stryker Corporation,0000310764,25116000000.0,374000000.0,67.15508021390374
SMCI,Supermicro,0001375365,21972042000.0,598926000.0,36.68573747007143
SYF,Synchrony Financial,0001601712,22601000000.0,347000000.0,65.13256484149856
SNPS,Synopsys,0000883241,7054178000.0,191449000.0,36.84625148211795
SYY,Sysco,0000096021,81370000000.0,478930649.0,169.89933755523757
TMUS,T-Mobile US,0001283699,88309000000.0,1106930661.0,79.77825812523952
TROW,T. Rowe Price,0001113169,7314800000.0,218565000.0,33.467389563745336
TTWO,Take-Two Interactive,0000946581,5633600000.0,185100000.0,30.435440302539167
TPR,"Tapestry, Inc.",0001116132,7010700000.0,202700000.0,34.58658115441539
TRGP,Targa Resources,0001389170,14137200000.0,214662156.0,65.85790557325811
TGT,Target Corporation,0000027419,104780000000.0,452840187.0,231.3840577934396
TEL,TE Connectivity,0001385157,17262000000.0,293434273.0,58.82748400013927
TDY,Teledyne Technologies,0001094285,6115400000.0,46185578.0,132.4092988508231
TER,Teradyne,0000097210,758968000.0,156088000.0,4.8624365742401725
TSLA,"Tesla, Inc.",0001318605,94827000000.0,3751000000.0,25.280458544388164
TXN,Texas Instruments,0000097476,17682000000.0,907550774.0,19.483207448622593
TPL,Texas Pacific Land Corporation,0001811074,798190000.0,68938230.0,11.578336142369771
TXT,Textron,0000217346,13630000000.0,174310000.0,78.19402214445527
TMO,Thermo Fisher Scientific,0000097745,44556000000.0,371484244.0,119.94048393611008
TJX,TJX Companies,0000109198,29078407000.0,1107087991.0,26.26566924796495
TKO,TKO Group Holdings,0001973266,4735151000.0,80818190.0,58.59016392225562
TTD,Trade Desk (The),0001671933,2896284000.0,488278000.0,5.931629112923376
TSCO,Tractor Supply,0000916365,15524046000.0,527017000.0,29.456442581548604
TT,Trane Technologies,0001466258,21321900000.0,249000000.0,85.6301204819277
TDG,TransDigm Group,0001260221,7940000000.0,52157225.0,152.23202538095154
TRV,Travelers Companies (The),0000086312,48828000000.0,217500000.0,224.49655172413793
TRMB,Trimble Inc.,0000864749,3587300000.0,236000000.0,15.20042372881356
TFC,Truist Financial,0000092230,24542000000.0,1262470000.0,19.439669853541073
TYL,Tyler Technologies,0000860731,2332340000.0,48147969.0,48.44108793041717
TSN,Tyson Foods,0000100493,54441000000.0,357000000.0,152.49579831932772
USB,U.S. Bancorp,0000036104,28656000000.0,1600000000.0,17.91
UBER,Uber,0001543151,52017000000.0,2067905000.0,25.154443748624814
UDR,"UDR, Inc.",0000074208,11361000.0,328273044.0,0.03460838532937843
ULTA,Ulta Beauty,0001403568,12392820000.0,44166000.0,280.5963863605488
UNP,Union Pacific Corporation,0000100885,24510000000.0,593245884.0,41.31507804949221
UAL,United Airlines Holdings,0000100517,59070000000.0,323470682.0,182.6131494662011
UPS,United Parcel Service,0001090727,88661000000.0,713924267.0,124.1882425044392
URI,United Rentals,0001067701,3695000000.0,63095970.0,58.56158483655929
UNH,UnitedHealth Group,0000731766,447567000000.0,906000000.0,494.00331125827813
UHS,Universal Health Services,0000352915,17364829000.0,63581000.0,273.1134930246457
VLO,Valero Energy,0001035002,122687000000.0,299026226.0,410.28842734349325
VTR,Ventas,0000740260,5833980000.0,469449000.0,12.427292421540997
VLTO,Veralto,0001967680,5503000000.0,248400000.0,22.15378421900161
VRSN,Verisign,0001014473,1656600000.0,91900000.0,18.026115342763873
VRSK,Verisk Analytics,0001442145,3072700000.0,138397709.0,22.20195711476698
VZ,Verizon,0000732712,138191000000.0,4217684168.0,32.76466290398632
VRTX,Vertex Pharmaceuticals,0000875320,12001300000.0,253991224.0,47.250845170933935
VRT,Vertiv,0001674101,10229900000.0,382553680.0,26.74108376110772
VTRS,Viatris,0001792044,14250400000.0,100.0,142504000.0
VICI,Vici Properties,0001705696,4006116000.0,1068811371.0,3.7481973982479273
V,Visa Inc.,0001403161,40000000000.0,469280842.0,85.23680581019755
VST,Vistra Corp.,0001692819,17586000000.0,338059635.0,52.02040758282189
VMC,Vulcan Materials Company,0001396009,7941100000.0,130600000.0,60.80474732006125
WRB,W. R. Berkley Corporation,0000011544,14707856000.0,377155799.0,38.99676483563759
GWW,W. W. Grainger,0000277135,17942000000.0,47373024.0,378.7387522485371
WAB,Wabtec,0000943452,11167000000.0,170600000.0,65.45720984759672
WMT,Walmart,0000104169,706413000000.0,3418000000.0,206.67437097717965
DIS,Walt Disney Company (The),0001744489,94425000000.0,1900000000.0,49.69736842105263
WBD,Warner Bros. Discovery,0001437107,37296000000.0,2480000000.0,15.038709677419355
WM,Waste Management,0000823768,25204000000.0,402900000.0,62.55646562422437
WAT,Waters Corporation,0001000697,3165286000.0,59549000.0,53.15430989605199
WEC,WEC Energy Group,0000783325,9800100000.0,325461519.0,30.111393906448278
WFC,Wells Fargo,0000072971,85063000000.0,3092600000.0,27.505335316562117
WELL,Welltower,0000766704,8452996000.0,696507255.0,12.136264108261155
WST,West Pharmaceutical Services,0000105770,3074100000.0,72000000.0,42.69583333333333
WDC,Western Digital,0000106040,9520000000.0,340000000.0,28.0
WY,Weyerhaeuser,0000106535,6905000000.0,720531000.0,9.583210160284567
WSM,"Williams-Sonoma, Inc.",0000719955,7806816000.0,118770000.0,65.73053801465016
WMB,Williams Companies,0000107263,14899000000.0,1221563111.0,12.196668240745524
WTW,Willis Towers Watson,0001140536,9516000000.0,94545903.0,100.6495225922164
WDAY,"Workday, Inc.",0001327811,9552000000.0,36000000.0,265.3333333333333
WYNN,Wynn Resorts,0001174922,6717660000.0,103989787.0,64.5992283838412
XEL,Xcel Energy,0000072903,11537000000.0,623600715.0,18.500620224593554
XYL,Xylem Inc.,0001524472,9035000000.0,243584000.0,37.09192722017867
YUM,Yum! Brands,0001041061,8214000000.0,276430130.0,29.71456114425732
ZBRA,Zebra Technologies,0000877212,5396000000.0,51654337.0,104.46363874537776
ZBH,Zimmer Biomet,0001136869,8231500000.0,195652004.0,42.072147648434004
ZTS,Zoetis,0001555280,9467000000.0,424927535.0,22.27909283402875
